V,F01,F02,F03,F04
0.4,0.0001220703125,0.0,0.0001220703125,0.0001220703125
0.395,0.0001220703125,0.0,0.0001220703125,0.0001220703125
0.39,0.0001220703125,0.0,0.0001220703125,0.0001220703125
0.385,0.0001220703125,0.0,0.0001220703125,0.000244140625
0.38,0.000244140625,0.0,0.0001220703125,0.0003662109375
0.375,0.0003662109375,0.0001220703125,0.0001220703125,0.00048828125
0.37,0.0003662109375,0.0001220703125,0.0001220703125,0.000732421875
0.365,0.000732421875,0.0001220703125,0.0001220703125,0.000732421875
0.36,0.000732421875,0.0001220703125,0.0001220703125,0.000732421875
0.355,0.000732421875,0.000244140625,0.0001220703125,0.000732421875
0.35,0.0008544921875,0.000244140625,0.0001220703125,0.0008544921875
0.345,0.0009765625,0.0003662109375,0.0001220703125,0.0008544921875
0.34,0.001220703125,0.0003662109375,0.000244140625,0.0008544921875
0.335,0.001220703125,0.0006103515625,0.0003662109375,0.0008544921875
0.33,0.001220703125,0.0008544921875,0.0003662109375,0.0008544921875
0.325,0.0013427734375,0.0010986328125,0.00048828125,0.0009765625
0.32,0.0013427734375,0.00146484375,0.0008544921875,0.0009765625
0.315,0.0013427734375,0.0015869140625,0.001220703125,0.0013427734375
0.31,0.0015869140625,0.001708984375,0.00146484375,0.0013427734375
0.305,0.0018310546875,0.001708984375,0.00146484375,0.00146484375
0.3,0.0025634765625,0.002197265625,0.0015869140625,0.0018310546875
0.295,0.0030517578125,0.0023193359375,0.0020751953125,0.0020751953125
0.29,0.003173828125,0.002685546875,0.0025634765625,0.0028076171875
0.285,0.0035400390625,0.0037841796875,0.0030517578125,0.0032958984375
0.28,0.0048828125,0.0045166015625,0.0042724609375,0.004638671875
0.275,0.006591796875,0.005615234375,0.00537109375,0.0057373046875
0.27,0.00830078125,0.00634765625,0.006103515625,0.0067138671875
0.265,0.0098876953125,0.00732421875,0.0079345703125,0.0093994140625
0.26,0.012451171875,0.0107421875,0.009765625,0.011962890625
0.255,0.0150146484375,0.0145263671875,0.0120849609375,0.015380859375
0.25,0.0198974609375,0.0191650390625,0.016357421875,0.0206298828125
0.245,0.0234375,0.023681640625,0.022705078125,0.025146484375
0.24,1.0,0.0335693359375,0.0286865234375,0.0333251953125
0.235,1.0,0.0458984375,0.04150390625,0.0458984375
0.23,1.0,0.064208984375,0.056640625,0.06298828125
0.225,0.0823974609375,0.084716796875,0.0731201171875,0.08935546875
0.22,0.117431640625,0.1180419921875,0.1036376953125,0.1290283203125
0.215,0.1650390625,0.169921875,0.1456298828125,0.175537109375
0.21,0.2442626953125,0.2476806640625,0.2203369140625,0.259033203125
0.205,0.362548828125,0.3592529296875,0.333984375,0.3909912109375
0.2,0.529541015625,0.5322265625,0.541015625,0.610595703125
0.195,0.7305908203125,0.820068359375,0.779541015625,0.883544921875
0.19,0.92333984375,0.9573974609375,0.9615478515625,0.985107421875
0.185,0.9974365234375,0.998779296875,0.9996337890625,1.0
0.18,1.0,1.0,1.0,0.9998779296875
0.175,1.0,1.0,1.0,1.0
