V,A1,A2,A3,C1
0.67,0.0,0.0,0.0,0.0
0.669,0.0,0.0,0.0001220703125,0.0001220703125
0.668,0.0,0.0,0.000244140625,0.0001220703125
0.667,0.0,0.0,0.00146484375,0.000244140625
0.666,0.0,0.0,0.00537109375,0.000244140625
0.665,0.0,0.0001220703125,0.0208740234375,0.000244140625
0.664,0.0,0.0001220703125,0.0933837890625,0.001708984375
0.663,0.0,0.0010986328125,0.3175048828125,0.0028076171875
0.662,0.0,0.0029296875,0.66162109375,0.0045166015625
0.661,0.0,0.0106201171875,0.8724365234375,0.016357421875
0.66,0.0,0.0419921875,0.969482421875,0.0301513671875
0.659,0.000244140625,0.1568603515625,0.997314453125,0.2269287109375
0.658,0.0006103515625,0.478515625,1.0,0.4248046875
0.657,0.001953125,0.7889404296875,1.0,0.8231201171875
0.656,0.0067138671875,0.9283447265625,1.0,0.94384765625
0.655,0.027587890625,0.984619140625,1.0,0.9566650390625
0.654,0.11572265625,0.9989013671875,1.0,0.9971923828125
0.653,0.591064453125,1.0,1.0,0.9998779296875
0.652,0.75341796875,1.0,1.0,1.0
0.651,0.931884765625,1.0,0.9998779296875,1.0
0.65,0.9794921875,0.9998779296875,1.0,1.0
0.649,0.9942626953125,1.0,1.0,0.9998779296875
0.648,1.0,1.0,0.9998779296875,1.0
0.647,1.0,1.0,1.0,1.0
